Neighborhood,mean_rel_error,median_rel_error,avg_price,count
OldTown,-0.01308027559888477,-0.006732756515002076,128225.30088495574,113
Edwards,-0.009088302753456998,0.0056622545208737446,128219.70000000001,100
SawyerW,-0.007225506067230479,-0.001205994115243225,186555.7966101695,59
Mitchel,-0.005592258979439183,-0.016617092311731564,156270.12244897962,49
Sawyer,-0.003575622369745974,0.015629394991814555,136793.13513513515,74
Timber,-0.0011826902470698445,-0.02472481415830543,242247.44736842104,38
CollgCr,-0.0008392282944679189,-0.0050689732260960395,197965.77333333335,150
NAmes,0.0008922361855933198,0.009196939237876395,145847.08,225
Gilbert,0.001980331239141094,-0.0033893822631553988,192854.50632911394,79
NWAmes,0.0027242444248323783,0.008795520241481442,189050.0684931507,73
IDOTRR,0.007451404468352527,0.038084459297389794,100123.78378378377,37
BrkSide,0.013844879225356469,0.02547193090174837,124834.05172413793,58
Somerst,0.01662920329724639,0.015877671373848105,225379.83720930232,86
NridgHt,0.03188411099497283,0.009568923753848067,316270.6233766234,77
Crawfor,0.04565941388025611,0.03570519983377497,210624.72549019608,51
NoRidge,0.053122443342579866,0.009533485330242644,335295.31707317074,41
